Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute, by type), A, Current week","Hepatitis (viral, acute, by type), A, Current week, flag ","Hepatitis (viral, acute, by type), A, Previous 52 weeks Med","Hepatitis (viral, acute, by type), A, Previous 52 weeks Med, flag","Hepatitis (viral, acute, by type), A, Previous 52 weeks Max","Hepatitis (viral, acute, by type), A, Previous 52 weeks Max, flag","Hepatitis (viral, acute, by type), A, Cum 2017","Hepatitis (viral, acute, by type), A, Cum 2017, flag","Hepatitis (viral, acute, by type), A, Cum 2016","Hepatitis (viral, acute, by type), A, Cum 2016, flag","Hepatitis (viral, acute, by type), B, Current week","Hepatitis (viral, acute, by type), B, Current week, flag","Hepatitis (viral, acute, by type), B, Previous 52 weeks Med","Hepatitis (viral, acute, by type), B, Previous 52 weeks Med, flag","Hepatitis (viral, acute, by type), B, Previous 52 weeks Max","Hepatitis (viral, acute, by type), B, Previous 52 weeks Max, flag","Hepatitis (viral, acute, by type), B, Cum 2017","Hepatitis (viral, acute, by type), B, Cum 2017, flag","Hepatitis (viral, acute, by type), B, Cum 2016","Hepatitis (viral, acute, by type), B, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,7,,31,,100,,7,,23,,13,,54,,79,,13,,58,,,
NEW ENGLAND,2017,1,,-,2,,4,,,-,1,,,-,1,,4,,,-,1,,,
WISCONSIN,2017,28,,-,0,,2,,5,,,-,,-,0,,3,,14,,6,,"WISCONSIN
(44.395526, -89.834513)",
MISSISSIPPI,2017,28,,-,0,,1,,2,,2,,,-,1,,3,,21,,12,,"MISSISSIPPI
(32.738663, -89.537312)",
MASSACHUSETTS,2017,28,,-,1,,4,,17,,26,,,-,0,,3,,12,,22,,"MASSACHUSETTS
(42.268546, -72.085064)",
OKLAHOMA,2017,28,,-,0,,4,,1,,5,,1,,0,,15,,7,,5,,"OKLAHOMA
(35.468494, -97.521264)",
MISSOURI,2017,28,,-,0,,1,,4,,10,,,-,1,,3,,17,,20,,"MISSOURI
(38.636168, -92.566292)",
WYOMING,2017,28,,-,0,,3,,6,,,-,,U,0,,0,,,U,,U,"WYOMING
(43.23558, -108.110518)",
MID. ATLANTIC,2017,1,1,,4,,10,,1,,4,,,-,4,,7,,,-,4,,,
E.S. CENTRAL,2017,28,,-,0,,4,,12,,19,,3,,11,,18,,291,,266,,,
VIRGIN ISL.,2017,28,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW YORK CITY,2017,1,,-,1,,3,,,-,1,,,-,1,,3,,,-,1,,,
C.N.M.I.,2017,28,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
E.N. CENTRAL,2017,1,,-,3,,8,,,-,4,,2,,11,,20,,2,,13,,,
TEXAS,2017,28,,-,2,,7,,52,,70,,,-,2,,15,,46,,51,,"TEXAS
(31.827233, -99.423022)",
CONNECTICUT,2017,28,,-,0,,3,,7,,4,,,-,0,,1,,4,,5,,"CONNECTICUT
(41.544654, -72.651713)",
PUERTO RICO,2017,28,,-,0,,1,,2,,18,,,-,0,,1,,1,,11,,"PUERTO RICO
(18.215692, -66.414655)",
