Year,MonthStart,MonthEnd,Location,Total,16-29,30-49,50-64,>65,Female,Male,Hispanic,Asian,Black,White,Other
2022,January,March,US,48.8,60.7,56.0,48.1,26.0,47.1,50.4,53.0,34.3,51.9,48.9,42.1,
2022,January,March,AL,59.3,,,,,,,,,,,,
2022,January,March,AZ,55.9,,,,,,,,,,,,
2022,January,March,AR,50.5,,,,,,,,,,,,
2022,January,March,CA,39.6,,,,,,,,,,,,
2022,January,March,CO,48.6,,,,,,,,,,,,
2022,January,March,CT,40.4,,,,,,,,,,,,
2022,January,March,DC,25.4,,,,,,,,,,,,
2022,January,March,DE,,,,,,,,,,,,,
2022,January,March,FL,,,,,,,,,,,,,
2022,January,March,GA,56.9,,,,,,,,,,,,
2022,January,March,ID,57.3,,,,,,,,,,,,
2022,January,March,IL,53.8,,,,,,,,,,,,
2022,January,March,IN,62.7,,,,,,,,,,,,
2022,January,March,IA,69.4,,,,,,,,,,,,
2022,January,March,KS,65.8,,,,,,,,,,,,
2022,January,March,KY,52.8,,,,,,,,,,,,
2022,January,March,LA,59.1,,,,,,,,,,,,
2022,January,March,ME,29.6,,,,,,,,,,,,
2022,January,March,MD,37.1,,,,,,,,,,,,
2022,January,March,MA,34.6,,,,,,,,,,,,
2022,January,March,MI,49.9,,,,,,,,,,,,
2022,January,March,MN,50.8,,,,,,,,,,,,
2022,January,March,MS,63.8,,,,,,,,,,,,
2022,January,March,MO,51.9,,,,,,,,,,,,
2022,January,March,MT,58.4,,,,,,,,,,,,
2022,January,March,NE,59.0,,,,,,,,,,,,
2022,January,March,NV,58.4,,,,,,,,,,,,
2022,January,March,NH,41.0,,,,,,,,,,,,
2022,January,March,NJ,52.4,,,,,,,,,,,,
2022,January,March,NM,43.5,,,,,,,,,,,,
2022,January,March,NY,36.9,,,,,,,,,,,,
2022,January,March,NC,43.1,,,,,,,,,,,,
2022,January,March,ND,65.5,,,,,,,,,,,,
2022,January,March,OH,55.4,,,,,,,,,,,,
2022,January,March,OK,55.7,,,,,,,,,,,,
2022,January,March,OR,34.4,,,,,,,,,,,,
2022,January,March,PA,50.2,,,,,,,,,,,,
2022,January,March,RI,,,,,,,,,,,,,
2022,January,March,SC,50.6,,,,,,,,,,,,
2022,January,March,SD,70.2,,,,,,,,,,,,
2022,January,March,TN,53.8,,,,,,,,,,,,
2022,January,March,TX,60.4,,,,,,,,,,,,
2022,January,March,UT,55.8,,,,,,,,,,,,
2022,January,March,VT,25.7,,,,,,,,,,,,
2022,January,March,VA,41.5,,,,,,,,,,,,
2022,January,March,WA,44.4,,,,,,,,,,,,
2022,January,March,WV,44.4,,,,,,,,,,,,
2022,January,March,WI,47.7,,,,,,,,,,,,
2022,January,March,WY,61.2,,,,,,,,,,,,
2022,April,June,US,58.7,72.1,68.8,56.4,32.6,57.8,59.6,62.5,43.0,65.0,58.5,53.4,
2022,April,June,AL,65.6,,,,,,,,,,,,
2022,April,June,AZ,62.3,,,,,,,,,,,,
2022,April,June,AR,75.3,,,,,,,,,,,,
2022,April,June,CA,47.6,,,,,,,,,,,,
2022,April,June,CO,58.8,,,,,,,,,,,,
2022,April,June,CT,50.8,,,,,,,,,,,,
2022,April,June,DC,37.2,,,,,,,,,,,,
2022,April,June,DE,,,,,,,,,,,,,
2022,April,June,FL,,,,,,,,,,,,,
2022,April,June,GA,65.2,,,,,,,,,,,,
2022,April,June,ID,68.6,,,,,,,,,,,,
2022,April,June,IL,62.8,,,,,,,,,,,,
2022,April,June,IN,69.8,,,,,,,,,,,,
2022,April,June,IA,71.1,,,,,,,,,,,,
2022,April,June,KS,72.3,,,,,,,,,,,,
